START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/05/15,05:05 PM,05:05 PM,Mets at Nationals,Space Coast Stadium,,03/05/15,03/05/15,08:05 PM,08:05 PM,FALSE,TRUE,03/05/15,04:05 PM,04:05 PM,FREE,BUSY
03/06/15,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium,,03/06/15,03/06/15,04:05 PM,04:05 PM,FALSE,TRUE,03/06/15,12:05 PM,12:05 PM,FREE,BUSY
03/07/15,01:05 PM,01:05 PM,Cardinals at Nationals,Space Coast Stadium,"Local TV: MLBN (delay) -- MASN ----- Local Radio: WJFK 1580 AM",03/07/15,03/07/15,04:05 PM,04:05 PM,FALSE,TRUE,03/07/15,12:05 PM,12:05 PM,FREE,BUSY
03/08/15,01:05 PM,01:05 PM,Nationals at Yankees,George M. Steinbrenner Field,"Local TV: MLBN (delay) ----- Local Radio: 106.7 The Fan",03/08/15,03/08/15,04:05 PM,04:05 PM,FALSE,TRUE,03/08/15,12:05 PM,12:05 PM,FREE,BUSY
03/09/15,01:05 PM,01:05 PM,Braves at Nationals,Space Coast Stadium,"Local TV: MASN -- MLBN",03/09/15,03/09/15,04:05 PM,04:05 PM,FALSE,TRUE,03/09/15,12:05 PM,12:05 PM,FREE,BUSY
03/10/15,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Stadium,"Local Radio: WJFK 1580 AM",03/10/15,03/10/15,04:05 PM,04:05 PM,FALSE,TRUE,03/10/15,12:05 PM,12:05 PM,FREE,BUSY
03/11/15,01:05 PM,01:05 PM,Tigers at Nationals,Space Coast Stadium,"Local TV: MASN -- MLBN (delay)",03/11/15,03/11/15,04:05 PM,04:05 PM,FALSE,TRUE,03/11/15,12:05 PM,12:05 PM,FREE,BUSY
03/12/15,01:10 PM,01:10 PM,Nationals at Mets,Tradition Field,"Local TV: MLBN (delay)",03/12/15,03/12/15,04:10 PM,04:10 PM,FALSE,TRUE,03/12/15,12:10 PM,12:10 PM,FREE,BUSY
03/13/15,01:05 PM,01:05 PM,Astros at Nationals,Space Coast Stadium,,03/13/15,03/13/15,04:05 PM,04:05 PM,FALSE,TRUE,03/13/15,12:05 PM,12:05 PM,FREE,BUSY
03/14/15,01:10 PM,01:10 PM,Nationals at Mets,Tradition Field,"Local TV: MLBN",03/14/15,03/14/15,04:10 PM,04:10 PM,FALSE,TRUE,03/14/15,12:10 PM,12:10 PM,FREE,BUSY
03/14/15,01:05 PM,01:05 PM,Marlins at Nationals,Space Coast Stadium,,03/14/15,03/14/15,04:05 PM,04:05 PM,FALSE,TRUE,03/14/15,12:05 PM,12:05 PM,FREE,BUSY
03/15/15,01:05 PM,01:05 PM,Nationals at Astros,Osceola County Stadium,,03/15/15,03/15/15,04:05 PM,04:05 PM,FALSE,TRUE,03/15/15,12:05 PM,12:05 PM,FREE,BUSY
03/16/15,01:05 PM,01:05 PM,Astros at Nationals,Space Coast Stadium,"Local TV: MASN -- MLBN (delay)",03/16/15,03/16/15,04:05 PM,04:05 PM,FALSE,TRUE,03/16/15,12:05 PM,12:05 PM,FREE,BUSY
03/17/15,01:05 PM,01:05 PM,Nationals at Tigers,Joker Marchant Stadium,,03/17/15,03/17/15,04:05 PM,04:05 PM,FALSE,TRUE,03/17/15,12:05 PM,12:05 PM,FREE,BUSY
03/18/15,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Stadium,,03/18/15,03/18/15,04:05 PM,04:05 PM,FALSE,TRUE,03/18/15,12:05 PM,12:05 PM,FREE,BUSY
03/19/15,01:05 PM,01:05 PM,Tigers at Nationals,Space Coast Stadium,"Local Radio: WJFK 1580 AM",03/19/15,03/19/15,04:05 PM,04:05 PM,FALSE,TRUE,03/19/15,12:05 PM,12:05 PM,FREE,BUSY
03/20/15,01:05 PM,01:05 PM,Nationals at Astros,Osceola County Stadium,"Local TV: MLBN",03/20/15,03/20/15,04:05 PM,04:05 PM,FALSE,TRUE,03/20/15,12:05 PM,12:05 PM,FREE,BUSY
03/21/15,01:05 PM,01:05 PM,Marlins at Nationals,Space Coast Stadium,"Local Radio: WJFK 1580 AM",03/21/15,03/21/15,04:05 PM,04:05 PM,FALSE,TRUE,03/21/15,12:05 PM,12:05 PM,FREE,BUSY
03/21/15,01:05 PM,01:05 PM,Nationals at Braves,Champion Stadium,,03/21/15,03/21/15,04:05 PM,04:05 PM,FALSE,TRUE,03/21/15,12:05 PM,12:05 PM,FREE,BUSY
03/22/15,01:05 PM,01:05 PM,Nationals at Tigers,Joker Marchant Stadium,"Local Radio: WJFK 1580 AM",03/22/15,03/22/15,04:05 PM,04:05 PM,FALSE,TRUE,03/22/15,12:05 PM,12:05 PM,FREE,BUSY
03/23/15,01:05 PM,01:05 PM,Yankees at Nationals,Space Coast Stadium,"Local TV: MLBN -- MASN ----- Local Radio: WFED 1500 -- WJFK 1580 AM",03/23/15,03/23/15,04:05 PM,04:05 PM,FALSE,TRUE,03/23/15,12:05 PM,12:05 PM,FREE,BUSY
03/25/15,01:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Stadium,"Local TV: MLBN (delay) ----- Local Radio: WJFK 1580 AM",03/25/15,03/25/15,04:05 PM,04:05 PM,FALSE,TRUE,03/25/15,12:05 PM,12:05 PM,FREE,BUSY
03/26/15,05:05 PM,05:05 PM,Mets at Nationals,Space Coast Stadium,"Local TV: MLBN (delay) -- MASN",03/26/15,03/26/15,08:05 PM,08:05 PM,FALSE,TRUE,03/26/15,04:05 PM,04:05 PM,FREE,BUSY
03/27/15,01:05 PM,01:05 PM,Cardinals at Nationals,Space Coast Stadium,"Local Radio: WJFK 1580 AM",03/27/15,03/27/15,04:05 PM,04:05 PM,FALSE,TRUE,03/27/15,12:05 PM,12:05 PM,FREE,BUSY
03/28/15,01:10 PM,01:10 PM,Nationals at Mets,Tradition Field,,03/28/15,03/28/15,04:10 PM,04:10 PM,FALSE,TRUE,03/28/15,12:10 PM,12:10 PM,FREE,BUSY
03/29/15,01:05 PM,01:05 PM,Marlins at Nationals,Space Coast Stadium,,03/29/15,03/29/15,04:05 PM,04:05 PM,FALSE,TRUE,03/29/15,12:05 PM,12:05 PM,FREE,BUSY
03/30/15,01:05 PM,01:05 PM,Nationals at Cardinals,Roger Dean Stadium,"Local TV: MLBN (delay)",03/30/15,03/30/15,04:05 PM,04:05 PM,FALSE,TRUE,03/30/15,12:05 PM,12:05 PM,FREE,BUSY
03/31/15,01:05 PM,01:05 PM,Mets at Nationals,Space Coast Stadium,,03/31/15,03/31/15,04:05 PM,04:05 PM,FALSE,TRUE,03/31/15,12:05 PM,12:05 PM,FREE,BUSY
04/01/15,01:05 PM,01:05 PM,Nationals at Marlins,Roger Dean Stadium,,04/01/15,04/01/15,04:05 PM,04:05 PM,FALSE,TRUE,04/01/15,12:05 PM,12:05 PM,FREE,BUSY
04/03/15,01:05 PM,01:05 PM,Nationals at Yankees,George M. Steinbrenner Field,"Local TV: MLBN (delay)",04/03/15,04/03/15,04:05 PM,04:05 PM,FALSE,TRUE,04/03/15,12:05 PM,12:05 PM,FREE,BUSY
04/04/15,01:05 PM,01:05 PM,Yankees at Nationals,Nationals Park,"Local TV: MASN -- MLBN (delay) ----- Local Radio: 106.7 The Fan",04/04/15,04/04/15,04:05 PM,04:05 PM,FALSE,TRUE,04/04/15,12:05 PM,12:05 PM,FREE,BUSY
04/06/15,04:05 PM,04:05 PM,Mets at Nationals,Nationals Park,"Local TV: WatchESPN -- ESPN",04/06/15,04/06/15,07:05 PM,07:05 PM,FALSE,TRUE,04/06/15,03:05 PM,03:05 PM,FREE,BUSY
04/08/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,04/08/15,04/08/15,10:05 PM,10:05 PM,FALSE,TRUE,04/08/15,06:05 PM,06:05 PM,FREE,BUSY
04/09/15,01:05 PM,01:05 PM,Mets at Nationals,Nationals Park,,04/09/15,04/09/15,04:05 PM,04:05 PM,FALSE,TRUE,04/09/15,12:05 PM,12:05 PM,FREE,BUSY
04/10/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,04/10/15,04/10/15,10:05 PM,10:05 PM,FALSE,TRUE,04/10/15,06:05 PM,06:05 PM,FREE,BUSY
04/11/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,04/11/15,04/11/15,10:05 PM,10:05 PM,FALSE,TRUE,04/11/15,06:05 PM,06:05 PM,FREE,BUSY
04/12/15,01:35 PM,01:35 PM,Nationals at Phillies,Citizens Bank Park,,04/12/15,04/12/15,04:35 PM,04:35 PM,FALSE,TRUE,04/12/15,12:35 PM,12:35 PM,FREE,BUSY
04/13/15,03:05 PM,03:05 PM,Nationals at Red Sox,Fenway Park,,04/13/15,04/13/15,06:05 PM,06:05 PM,FALSE,TRUE,04/13/15,02:05 PM,02:05 PM,FREE,BUSY
04/14/15,06:10 PM,06:10 PM,Nationals at Red Sox,Fenway Park,,04/14/15,04/14/15,09:10 PM,09:10 PM,FALSE,TRUE,04/14/15,05:10 PM,05:10 PM,FREE,BUSY
04/15/15,01:35 PM,01:35 PM,Nationals at Red Sox,Fenway Park,,04/15/15,04/15/15,04:35 PM,04:35 PM,FALSE,TRUE,04/15/15,12:35 PM,12:35 PM,FREE,BUSY
04/16/15,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park,,04/16/15,04/16/15,10:05 PM,10:05 PM,FALSE,TRUE,04/16/15,06:05 PM,06:05 PM,FREE,BUSY
04/17/15,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park,,04/17/15,04/17/15,10:05 PM,10:05 PM,FALSE,TRUE,04/17/15,06:05 PM,06:05 PM,FREE,BUSY
04/18/15,01:05 PM,01:05 PM,Phillies at Nationals,Nationals Park,,04/18/15,04/18/15,04:05 PM,04:05 PM,FALSE,TRUE,04/18/15,12:05 PM,12:05 PM,FREE,BUSY
04/19/15,01:35 PM,01:35 PM,Phillies at Nationals,Nationals Park,,04/19/15,04/19/15,04:35 PM,04:35 PM,FALSE,TRUE,04/19/15,12:35 PM,12:35 PM,FREE,BUSY
04/21/15,07:05 PM,07:05 PM,Cardinals at Nationals,Nationals Park,,04/21/15,04/21/15,10:05 PM,10:05 PM,FALSE,TRUE,04/21/15,06:05 PM,06:05 PM,FREE,BUSY
04/22/15,07:05 PM,07:05 PM,Cardinals at Nationals,Nationals Park,,04/22/15,04/22/15,10:05 PM,10:05 PM,FALSE,TRUE,04/22/15,06:05 PM,06:05 PM,FREE,BUSY
04/23/15,04:05 PM,04:05 PM,Cardinals at Nationals,Nationals Park,,04/23/15,04/23/15,07:05 PM,07:05 PM,FALSE,TRUE,04/23/15,03:05 PM,03:05 PM,FREE,BUSY
04/24/15,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,,04/24/15,04/24/15,10:10 PM,10:10 PM,FALSE,TRUE,04/24/15,06:10 PM,06:10 PM,FREE,BUSY
04/25/15,04:10 PM,04:10 PM,Nationals at Marlins,Marlins Park,,04/25/15,04/25/15,07:10 PM,07:10 PM,FALSE,TRUE,04/25/15,03:10 PM,03:10 PM,FREE,BUSY
04/26/15,01:10 PM,01:10 PM,Nationals at Marlins,Marlins Park,,04/26/15,04/26/15,04:10 PM,04:10 PM,FALSE,TRUE,04/26/15,12:10 PM,12:10 PM,FREE,BUSY
04/27/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,04/27/15,04/27/15,10:10 PM,10:10 PM,FALSE,TRUE,04/27/15,06:10 PM,06:10 PM,FREE,BUSY
04/28/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,04/28/15,04/28/15,10:10 PM,10:10 PM,FALSE,TRUE,04/28/15,06:10 PM,06:10 PM,FREE,BUSY
04/29/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,04/29/15,04/29/15,10:10 PM,10:10 PM,FALSE,TRUE,04/29/15,06:10 PM,06:10 PM,FREE,BUSY
04/30/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,04/30/15,04/30/15,10:10 PM,10:10 PM,FALSE,TRUE,04/30/15,06:10 PM,06:10 PM,FREE,BUSY
05/01/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,05/01/15,05/01/15,10:10 PM,10:10 PM,FALSE,TRUE,05/01/15,06:10 PM,06:10 PM,FREE,BUSY
05/02/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,05/02/15,05/02/15,10:10 PM,10:10 PM,FALSE,TRUE,05/02/15,06:10 PM,06:10 PM,FREE,BUSY
05/03/15,01:10 PM,01:10 PM,Nationals at Mets,Citi Field,,05/03/15,05/03/15,04:10 PM,04:10 PM,FALSE,TRUE,05/03/15,12:10 PM,12:10 PM,FREE,BUSY
05/04/15,07:05 PM,07:05 PM,Marlins at Nationals,Nationals Park,,05/04/15,05/04/15,10:05 PM,10:05 PM,FALSE,TRUE,05/04/15,06:05 PM,06:05 PM,FREE,BUSY
05/05/15,07:05 PM,07:05 PM,Marlins at Nationals,Nationals Park,,05/05/15,05/05/15,10:05 PM,10:05 PM,FALSE,TRUE,05/05/15,06:05 PM,06:05 PM,FREE,BUSY
05/06/15,01:05 PM,01:05 PM,Marlins at Nationals,Nationals Park,,05/06/15,05/06/15,04:05 PM,04:05 PM,FALSE,TRUE,05/06/15,12:05 PM,12:05 PM,FREE,BUSY
05/08/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,05/08/15,05/08/15,10:05 PM,10:05 PM,FALSE,TRUE,05/08/15,06:05 PM,06:05 PM,FREE,BUSY
05/09/15,04:05 PM,04:05 PM,Braves at Nationals,Nationals Park,,05/09/15,05/09/15,07:05 PM,07:05 PM,FALSE,TRUE,05/09/15,03:05 PM,03:05 PM,FREE,BUSY
05/10/15,01:35 PM,01:35 PM,Braves at Nationals,Nationals Park,,05/10/15,05/10/15,04:35 PM,04:35 PM,FALSE,TRUE,05/10/15,12:35 PM,12:35 PM,FREE,BUSY
05/11/15,09:40 PM,09:40 PM,Nationals at D-backs,Chase Field,,05/12/15,05/12/15,12:40 AM,12:40 AM,FALSE,TRUE,05/11/15,08:40 PM,08:40 PM,FREE,BUSY
05/12/15,09:40 PM,09:40 PM,Nationals at D-backs,Chase Field,,05/13/15,05/13/15,12:40 AM,12:40 AM,FALSE,TRUE,05/12/15,08:40 PM,08:40 PM,FREE,BUSY
05/13/15,03:40 PM,03:40 PM,Nationals at D-backs,Chase Field,,05/13/15,05/13/15,06:40 PM,06:40 PM,FALSE,TRUE,05/13/15,02:40 PM,02:40 PM,FREE,BUSY
05/14/15,10:10 PM,10:10 PM,Nationals at Padres,Petco Park,,05/15/15,05/15/15,01:10 AM,01:10 AM,FALSE,TRUE,05/14/15,09:10 PM,09:10 PM,FREE,BUSY
05/15/15,10:10 PM,10:10 PM,Nationals at Padres,Petco Park,,05/16/15,05/16/15,01:10 AM,01:10 AM,FALSE,TRUE,05/15/15,09:10 PM,09:10 PM,FREE,BUSY
05/16/15,08:40 PM,08:40 PM,Nationals at Padres,Petco Park,,05/16/15,05/16/15,11:40 PM,11:40 PM,FALSE,TRUE,05/16/15,07:40 PM,07:40 PM,FREE,BUSY
05/17/15,04:10 PM,04:10 PM,Nationals at Padres,Petco Park,,05/17/15,05/17/15,07:10 PM,07:10 PM,FALSE,TRUE,05/17/15,03:10 PM,03:10 PM,FREE,BUSY
05/19/15,07:05 PM,07:05 PM,Yankees at Nationals,Nationals Park,,05/19/15,05/19/15,10:05 PM,10:05 PM,FALSE,TRUE,05/19/15,06:05 PM,06:05 PM,FREE,BUSY
05/20/15,07:05 PM,07:05 PM,Yankees at Nationals,Nationals Park,,05/20/15,05/20/15,10:05 PM,10:05 PM,FALSE,TRUE,05/20/15,06:05 PM,06:05 PM,FREE,BUSY
05/22/15,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park,,05/22/15,05/22/15,10:05 PM,10:05 PM,FALSE,TRUE,05/22/15,06:05 PM,06:05 PM,FREE,BUSY
05/23/15,04:05 PM,04:05 PM,Phillies at Nationals,Nationals Park,,05/23/15,05/23/15,07:05 PM,07:05 PM,FALSE,TRUE,05/23/15,03:05 PM,03:05 PM,FREE,BUSY
05/24/15,01:35 PM,01:35 PM,Phillies at Nationals,Nationals Park,,05/24/15,05/24/15,04:35 PM,04:35 PM,FALSE,TRUE,05/24/15,12:35 PM,12:35 PM,FREE,BUSY
05/25/15,02:20 PM,02:20 PM,Nationals at Cubs,Wrigley Field,,05/25/15,05/25/15,05:20 PM,05:20 PM,FALSE,TRUE,05/25/15,01:20 PM,01:20 PM,FREE,BUSY
05/26/15,07:05 PM,07:05 PM,Nationals at Cubs,Wrigley Field,,05/26/15,05/26/15,10:05 PM,10:05 PM,FALSE,TRUE,05/26/15,06:05 PM,06:05 PM,FREE,BUSY
05/27/15,08:05 PM,08:05 PM,Nationals at Cubs,Wrigley Field,,05/27/15,05/27/15,11:05 PM,11:05 PM,FALSE,TRUE,05/27/15,07:05 PM,07:05 PM,FREE,BUSY
05/29/15,07:10 PM,07:10 PM,Nationals at Reds,Great American Ball Park,,05/29/15,05/29/15,10:10 PM,10:10 PM,FALSE,TRUE,05/29/15,06:10 PM,06:10 PM,FREE,BUSY
05/30/15,04:10 PM,04:10 PM,Nationals at Reds,Great American Ball Park,,05/30/15,05/30/15,07:10 PM,07:10 PM,FALSE,TRUE,05/30/15,03:10 PM,03:10 PM,FREE,BUSY
05/31/15,01:10 PM,01:10 PM,Nationals at Reds,Great American Ball Park,,05/31/15,05/31/15,04:10 PM,04:10 PM,FALSE,TRUE,05/31/15,12:10 PM,12:10 PM,FREE,BUSY
06/01/15,07:05 PM,07:05 PM,Blue Jays at Nationals,Nationals Park,,06/01/15,06/01/15,10:05 PM,10:05 PM,FALSE,TRUE,06/01/15,06:05 PM,06:05 PM,FREE,BUSY
06/02/15,07:05 PM,07:05 PM,Blue Jays at Nationals,Nationals Park,,06/02/15,06/02/15,10:05 PM,10:05 PM,FALSE,TRUE,06/02/15,06:05 PM,06:05 PM,FREE,BUSY
